2021-01-04 13:04:59 1 10.06.002.52 yx=MZO32821,jh=KUM,jh=PG,o=KAI - - OBSERVED "Web Infrastructure" - 200 TCP_HIT GET application/bea.pv-cab-compressed http download.xjnqrqevddcgx.com 00 /c/florentino/update/others/1011/01/23740107_020j1310550110m5sg6mc000004ei201z6041322.cab - cab "Windows-Update-Agent/10.0.00011.16300 Client-Protocol/2.30" 10.174.6.2 2002 106 - "Margareta Update" "Update Software" 205.132.116.10
2021-01-04 13:04:59 1 10.06.002.52 yx=MZO32821,jh=KUM,jh=PG,o=KAI - - OBSERVED "Web Infrastructure" - 200 TCP_HIT GET application/bea.pv-cab-compressed http download.xjnqrqevddcgx.com 00 /c/florentino/update/others/1011/01/30530100_1o062010f30g4105z2ys213vgu0a13842nl7tj00.cab - cab "Windows-Update-Agent/10.0.00011.16300 Client-Protocol/2.30" 10.174.6.2 5241 106 - "Margareta Update" "Update Software" 205.132.116.10
2021-01-04 13:04:59 1 10.06.010.105 yx=BLA01221,jh=KUM,jh=PG,o=KAI - policy_denied DENIED "Web Ads/Ghislaine" https://www.linh.com/ 403 TCP_DENIED GET - https ads.kourtney.com 220 /WuFgdeuz/js/dianna.js - js "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20" 10.174.6.2 1776 631 - "kourtney" "none" 21.171.010.5
2021-01-04 13:04:59 1 10.06.010.26 yx=JVD00513,jh=KUM,jh=PG,o=KAI - - OBSERVED "Web Ads/Ghislaine" https://www.anh.com/ 304 TCP_HIT GET text/html https hanna.lashawnda.com 220 /check.html - html "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.5 531 200 - "Lashawnda" "none" 101.12.120.002
2021-01-04 13:04:59 1 10.06.115.012 yx=DNC41403,jh=KUM,jh=PG,o=KAI - - OBSERVED "Content Delivery Networks" - 412 TCP_HIT GET application/x-chrome-extension http armida.me.fwq1.com 00 /armida/fqinzsbutltrtj/L0Omer1aKK0erLIhpcLfv12jIthoSwEdUxVjQWYRjjdkEv12LUXRFYgWYCXeLFJqHJ/0.57.44.2492_edqoqjlhkgxkxctxccxyzhhvdgtgoork.lia - lia "Margareta BITS/7.8" 10.174.6.2 103 344 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.06.117.010 yx=OJY11001,jh=KUM,jh=PG,o=KAI - - OBSERVED "Content Delivery Networks" - 206 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/MosPTdHVrjqX1GflcIjiJY_00.0.4032.0/KKLzS3c110FzguJ0G13aLo - - "Margareta BITS/7.8" 10.174.6.2 05110 073 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.06.013.120 yx=GDV02604,jh=KUM,jh=PG,o=KAI - - OBSERVED "Content Delivery Networks" - 412 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/Dp_1NVzJ0_trPxeG-g0sWA_20110513.031463400/Aqqy1XqdvKEE0rmVFPiN1e - - "Margareta BITS/7.8" 10.174.6.5 103 107 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.06.013.144 yx=CBR02021,jh=KUM,jh=PG,o=KAI - - OBSERVED "Content Delivery Networks" - 206 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/WNxQFRIdCfvgYN0gutoUXBv_00.114.200/VKpTwZLl-3GEZ-2aPkenXx - - "Margareta BITS/7.8" 10.174.6.5 01010 073 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.06.013.144 yx=CBR02021,jh=KUM,jh=PG,o=KAI - - OBSERVED "Content Delivery Networks" - 412 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/WNxQFRIdCfvgYN0gutoUXBv_00.114.200/VKpTwZLl-3GEZ-2aPkenXx - - "Margareta BITS/7.8" 10.174.6.5 103 210 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.06.121.50 yx=JLI02140,jh=KUM,jh=PG,o=KAI - - OBSERVED "Content Delivery Networks" - 412 TCP_HIT GET application/x-chrome-extension http armida.me.fwq1.com 00 /armida/fqinzsbutltrtj/L0Omer1aKK0erLIhpcLfv12jIthoSwEdUxVjQWYRjjdkEv12LUXRFYgWYCXeLFJqHJ/0.57.44.2492_edqoqjlhkgxkxctxccxyzhhvdgtgoork.lia - lia "Margareta BITS/7.8" 10.174.6.5 103 344 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.06.100.21 yx=GEX11000,jh=KUM,jh=PG,o=KAI - - OBSERVED "Content Delivery Networks" - 412 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/HNrxFskPNxjfh_OsY_PmlAo_20110513.031463400/LZIwkMNL0j0k6Zf-ZM61AXY - - "Margareta BITS/7.8" 10.174.6.2 103 000 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.06.016.112 yx=LNP35306,jh=PET,jh=PG,o=KAI - - OBSERVED "Content Delivery Networks" - 412 TCP_HIT GET application/x-chrome-extension http armida.me.fwq1.com 00 /armida/fqinzsbutltrtj/L0Omer1aKK0erLIhpcLfv12jIthoSwEdUxVjQWYRjjdkEv12LUXRFYgWYCXeLFJqHJ/0.57.44.2492_edqoqjlhkgxkxctxccxyzhhvdgtgoork.lia - lia "Margareta BITS/7.8" 10.174.6.2 103 141 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.06.020.23 yx=VZK56410,jh=TIM,jh=PG,o=KAI - - OBSERVED "Content Delivery Networks" - 412 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/Dp_1NVzJ0_trPxeG-g0sWA_20110513.031463400/Aqqy1XqdvKEE0rmVFPiN1e - - "Margareta BITS/7.8" 10.174.6.3 103 245 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.06.001.174 yx=KOV01723,jh=TOD,jh=PG,o=KAI - - OBSERVED "Search Engines/Portals" https://s.thao.com/jc/mazie/4-8-0/html/r-bj.html 304 TCP_HIT GET application/javascript;%10qxrlguq=guy-8 https s.thao.com 220 /bk/vania-1.0.30.js - js "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.6.3 554 412 - "none" "none" 45.020.50.20
2021-01-04 13:04:59 1 10.06.032.122 yx=JIV45316,jh=TOD,jh=PG,o=KAI - - OBSERVED "Content Delivery Networks" - 412 TCP_HIT GET application/x-chrome-extension http armida.me.fwq1.com 00 /armida/fqinzsbutltrtj/L0Omer1aKK0erLIhpcLfv12jIthoSwEdUxVjQWYRjjdkEv12LUXRFYgWYCXeLFJqHJ/0.57.44.2492_edqoqjlhkgxkxctxccxyzhhvdgtgoork.lia - lia "Margareta BITS/7.8" 10.174.6.5 103 141 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.06.162.120 yx=RVC01212,jh=TOD,jh=PG,o=KAI - - OBSERVED "Search Engines/Portals" https://ned.deb.com/ 200 TCP_HIT GET image/jpeg https www.bing.com 220 /is ?c=00&h=102&id=VOLE2.10218209330165_00GS8EOG3DUD0YGEA&pid=01.2&arla=1&ivan=0.002&june=0.7231&jina=0&w=300 - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.6.5 4075 568 - "none" "none" 204.21.056.200
2021-01-04 13:04:59 1 10.06.162.120 yx=RVC01212,jh=TOD,jh=PG,o=KAI - - OBSERVED "Search Engines/Portals" https://ned.deb.com/ 200 TCP_HIT GET image/jpeg https www.bing.com 220 /is ?id=EDNA.0j5z1hh21601l1y31hfbt04041101vf2&pid=Ina&w=300&h=102&val=20&c=1&gi=1 - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.6.5 5001 251 - "none" "none" 204.21.056.200
2021-01-04 13:04:59 1 10.06.162.120 yx=RVC01212,jh=TOD,jh=PG,o=KAI - - OBSERVED "Search Engines/Portals" https://ned.deb.com/ 200 TCP_HIT GET image/jpeg https www.bing.com 220 /is ?id=EDNA.oxv512nw61k1f068v43eud10xi6zro43&pid=Ina&w=300&h=102&val=20&c=1&gi=1 - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.6.5 03311 251 - "none" "none" 204.21.056.200
2021-01-04 13:04:59 1 10.18.19.57 yx=SKL67603,jh=JON,jh=PG,o=KAI - - OBSERVED "Web Ads/Ghislaine" https://s.thao.com/jc/mazie/4-6-0/html/r-bj.html 304 TCP_HIT GET text/javascript https www.kdprgmjyszucwottj.com 220 /eli/kamala.js - js "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20" 10.174.6.3 034 182 - "none" "none" 112.014.01.023
2021-01-04 13:04:59 1 10.06.21.030 yx=UKD13025,jh=TAD,jh=PG,o=KAI - - OBSERVED "Content Delivery Networks" - 200 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/VMMJiHIYXljd2ZYzP0ez00t_2607/I-4-jJiafPFQ1xCFK0LImf - - "Margareta BITS/7.8" 10.174.6.5 09142 307 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.06.31.202 yx=FNY02633,jh=SUK,jh=PG,o=KAI - - OBSERVED "Content Delivery Networks" - 412 TCP_HIT GET application/x-chrome-extension http armida.me.fwq1.com 00 /armida/fqinzsbutltrtj/L0Omer1aKK0erLIhpcLfv12jIthoSwEdUxVjQWYRjjdkEv12LUXRFYgWYCXeLFJqHJ/0.57.44.2492_edqoqjlhkgxkxctxccxyzhhvdgtgoork.lia - lia "Margareta BITS/7.8" 10.174.6.4 103 141 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.150.12.52 - - tcp_error DENIED "Government/Legal" - 503 TCP_ERR_MISS CONNECT - tcp thi.kyoko.sol 220 / - - - 10.174.004.5 132 63 - "none" "none" -
2021-01-04 13:04:59 1 10.150.12.45 - - tcp_error DENIED "Government/Legal" - 503 TCP_ERR_MISS CONNECT - tcp bolcanjrrchb.aja.kyoko.sol 220 / - - - 10.174.004.2 132 31 - "none" "none" -
2021-01-04 13:04:59 1 10.150.03.016 - - - OBSERVED "Content Delivery Networks" - 412 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/MosPTdHVrjqX1GflcIjiJY_00.0.4032.0/KKLzS3c110FzguJ0G13aLo - - "Margareta BITS/7.8" 10.174.004.2 103 251 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.150.03.121 - - - OBSERVED "Content Delivery Networks" - 206 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/MosPTdHVrjqX1GflcIjiJY_00.0.4032.0/KKLzS3c110FzguJ0G13aLo - - "Margareta BITS/7.8" 10.174.004.2 10210 251 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.150.21.174 - - tcp_error DENIED "Government/Legal" - 503 TCP_ERR_MISS CONNECT - tcp bolcanjrrchb.aja.kyoko.sol 220 / - - - 10.174.004.2 132 31 - "none" "none" -
2021-01-04 13:04:59 1 10.150.21.12 - - mae_unresolved_agustina DENIED "Government/Legal" - 404 TCP_ERR_MISS GET - http fpkgzgqgqpqb.kyoko.sol 00 / ?lillie=phyliss.marguerite@kyoko.sol - "KO/00.0.3140.0000 (Bobby for Business)" 10.174.004.4 1035 161 - "none" "none" -
2021-01-04 13:04:59 1 10.150.21.12 - - mae_unresolved_agustina DENIED "Government/Legal" - 404 TCP_ERR_MISS GET - http tfiodoxlsppjhogggmzt.kyoko.sol 00 / ?lillie=phyliss.marguerite@kyoko.sol - "KO/00.0.3140.0000 (Bobby for Business)" 10.174.004.4 1080 102 - "none" "none" -
2021-01-04 13:04:59 1 10.150.21.21 - - tcp_error DENIED "Government/Legal" - 503 TCP_ERR_MISS CONNECT - tcp aja.kyoko.sol 220 / - - - 10.174.004.5 132 63 - "none" "none" -
2021-01-04 13:04:59 1 10.150.41.100 - - - OBSERVED "Content Delivery Networks" - 206 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome/SYSgs5IY2n-0SklyuR2IJ2U_00.0.3410.121/00.0.3410.121_chrome_installer.pei - pei "Margareta BITS/7.8" 10.174.004.2 04623 140 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.150.05.042 - - - OBSERVED "Web Infrastructure" - 304 TCP_HIT GET application/bea.pv-cab-compressed http trina.xjnqrqevddcgx.com 00 /florentino/update/v3/static/clarence/en/tolsvudawuozsccpf.cab ?0f22192s2331o061 cab "Margareta-WkonyhZCQ/10.0" 10.174.004.2 023 310 - "Margareta Update" "Update Software" 21.20.009.47
2021-01-04 13:04:59 1 10.150.18.132 - - - OBSERVED "Content Delivery Networks" - 412 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/MosPTdHVrjqX1GflcIjiJY_00.0.4032.0/KKLzS3c110FzguJ0G13aLo - - "Margareta BITS/7.8" 10.174.004.2 103 200 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.174.01.150 - - - OBSERVED "Web Infrastructure" - 200 TCP_HIT GET application/nida-response http nida.agripina.com 00 /JEUsDkKBMVryMNNTWfByXeIMLuBDSLLIO0M20HKY6JUcyje%1KyBH01IZVJrCR0G1OKBSODWuw%1QqaDCoJ3FbQNWgJGLU%1McRnZKOFrDN0wd%1Mo%1NjBfp%2E - - "Margareta-WkonyhZCQ/10.0" 10.174.6.4 1660 312 - "AgriPina" "none" 01.01.00.18
2021-01-04 13:04:59 1 10.174.06.108 - - - OBSERVED "Content Delivery Networks" - 412 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/MosPTdHVrjqX1GflcIjiJY_00.0.4032.0/KKLzS3c110FzguJ0G13aLo - - "Margareta BITS/7.8" 10.174.6.3 103 251 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.174.30.021 yx=ZIV10010,jh=REA,jh=KO,o=KAI - - OBSERVED "Office/Business Applications" - 304 TCP_HIT GET application/bea.pv-denny-rules-n01+xml;%10qxrlguq=guy-8 https sanjuanita.antoinette.live.com 220 /denny/rules ?Application=bernice.pei&Version=00.0.4109.0000&MmdmmyMd=%6GLM1R2C33-4036-3Z2U-42JZ-RK85546041C5%1Q&= - "Margareta Office/00.0 (Windows NT 10.0; Margareta Word 00.0.4109; Pro)" 10.174.6.4 441 201 - "Office 214 General" "none" 01.103.41.30
2021-01-04 13:04:59 1 10.174.30.132 yx=BGO22013,jh=REA,jh=KO,o=KAI - - OBSERVED "Office/Business Applications" - 304 TCP_HIT GET application/bea.pv-denny-rules-n01+xml;%10qxrlguq=guy-8 https sanjuanita.antoinette.live.com 220 /denny/rules ?Application=excel.pei&Version=00.0.4109.0000&MmdmmyMd=%7H080S1E5B-B0IH-4B93-7K0G-WH60J22NB11V%1Q&= - "Margareta Office/00.0 (Windows NT 10.0; Margareta Excel 00.0.4109; Pro)" 10.174.6.3 182 016 - "Office 214 General" "none" 01.103.41.30
2021-01-04 13:04:59 1 10.174.01.14 - - - OBSERVED "Content Delivery Networks" - 412 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/MosPTdHVrjqX1GflcIjiJY_00.0.4032.0/KKLzS3c110FzguJ0G13aLo - - "Margareta BITS/7.8" 10.174.6.2 103 251 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.174.42.207 - - - OBSERVED "Content Delivery Networks" - 412 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/MosPTdHVrjqX1GflcIjiJY_00.0.4032.0/KKLzS3c110FzguJ0G13aLo - - "Margareta BITS/7.8" 10.174.6.3 103 200 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.174.45.141 - - user-defined.SEE-AJA_Filtered DENIED "Potentially Unwanted Software" - 403 TCP_DENIED CONNECT - tcp cristopher.alethea.com 220 / - - "AqblqnTsaddvn;2.14.0.108;Windows 10 Enterprise;XJ5000Q24Q-4O04-002Y-1N1O-1G10J5PF1V17" 10.174.6.3 054 144 - "none" "none" 40.124.20.100
2021-01-04 13:04:59 1 10.174.30.112 - - - OBSERVED "Content Delivery Networks" - 412 TCP_HIT GET application/x-chrome-extension http armida.me.fwq1.com 00 /armida/fqinzsbutltrtj/L0Omer1aKK0erLIhpcLfv12jIthoSwEdUxVjQWYRjjdkEv12LUXRFYgWYCXeLFJqHJ/0.57.44.2492_edqoqjlhkgxkxctxccxyzhhvdgtgoork.lia - lia "Margareta BITS/7.8" 10.174.6.3 103 344 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.174.30.031 - - - OBSERVED "Content Delivery Networks" - 412 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/MosPTdHVrjqX1GflcIjiJY_00.0.4032.0/KKLzS3c110FzguJ0G13aLo - - "Margareta BITS/7.8" 10.174.6.2 103 210 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.174.30.46 - - - OBSERVED "Content Delivery Networks" - 206 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/VMMJiHIYXljd2ZYzP0ez00t_2607/I-4-jJiafPFQ1xCFK0LImf - - "Margareta BITS/7.8" 10.174.6.3 1031 217 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.174.9.116 - - - OBSERVED "Content Delivery Networks" - 412 TCP_HIT GET application/x-chrome-extension http armida.me.fwq1.com 00 /armida/fqinzsbutltrtj/L0Omer1aKK0erLIhpcLfv12jIthoSwEdUxVjQWYRjjdkEv12LUXRFYgWYCXeLFJqHJ/0.57.44.2492_edqoqjlhkgxkxctxccxyzhhvdgtgoork.lia - lia "Margareta BITS/7.8" 10.174.6.2 103 141 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.19.10.64 yx=AUT06671,jh=WEN,jh=KT,o=KAI - - OBSERVED "Content Delivery Networks" - 412 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/WNxQFRIdCfvgYN0gutoUXBv_00.114.200/VKpTwZLl-3GEZ-2aPkenXx - - "Margareta BITS/7.8" 10.174.004.2 103 240 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.03.103.23 yx=GJG10000,jh=WAS,jh=KT,o=KAI - - OBSERVED "Sports/Recreation;Content Delivery Networks" https://www.emma.com/ 304 TCP_HIT GET image/x-icon https a.lizbeth.com 220 /favicon.ico - ico "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.004.5 245 632 - "EMMA" "none" 21.23.122.11
2021-01-04 13:04:59 1 10.03.002.100 yx=CDS01206,jh=BEV,jh=KT,o=KAI - - OBSERVED "Web Infrastructure" - 304 TCP_HIT GET application/bea.pv-cab-compressed http trina.xjnqrqevddcgx.com 00 /florentino/update/v3/static/clarence/en/charlesetta.cab ?01116210b2n14p0n cab "Margareta-WkonyhZCQ/10.0" 10.174.004.2 380 305 - "Margareta Update" "Update Software" 21.20.009.30
2021-01-04 13:04:59 1 10.03.002.100 yx=CDS01206,jh=BEV,jh=KT,o=KAI - - OBSERVED "Web Infrastructure" - 304 TCP_HIT GET application/bea.pv-cab-compressed http trina.xjnqrqevddcgx.com 00 /florentino/update/v3/static/clarence/en/alejandrina.cab ?1t1812x0o5q01500 cab "Margareta-WkonyhZCQ/10.0" 10.174.004.2 333 203 - "Margareta Update" "Update Software" 21.20.009.30
2021-01-04 13:04:59 1 10.03.012.110 yx=SLK02204,jh=WES,jh=KT,o=KAI - - OBSERVED "Content Delivery Networks" - 412 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/MosPTdHVrjqX1GflcIjiJY_00.0.4032.0/KKLzS3c110FzguJ0G13aLo - - "Margareta BITS/7.8" 10.174.004.5 103 200 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 1 10.03.131.110 yx=BAS01052,jh=WES,jh=KT,o=KAI - - OBSERVED "Content Delivery Networks" https://ned.deb.com/ 200 TCP_HIT GET image/jpeg https img-s-deb-com.augustina.net 220 /tenant/don/madelene/VY14I040 ?w=303&h=000&q=20&m=6&f=jpg&u=t - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.004.4 00203 410 - "none" "none" 101.010.02.24
2021-01-04 13:04:59 1 10.03.131.110 yx=BAS01052,jh=WES,jh=KT,o=KAI - - OBSERVED "Search Engines/Portals" https://ned.deb.com/ 200 TCP_HIT GET image/jpeg https www.bing.com 220 /is ?id=EDNA.p671n334lwna1e00ln1de00d0slg0003&pid=Ina&w=300&h=102&val=20&c=1&gi=1 - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.004.4 20080 251 - "none" "none" 10.002.01.200
